2025-07-23 23:32:51 | DEBUG    | superclaude | SuperClaude called with operation: install
2025-07-23 23:32:51 | DEBUG    | superclaude | Arguments: {'verbose': False, 'quiet': False, 'install_dir': PosixPath('/Users/oozoofrog/.claude'), 'dry_run': False, 'force': False, 'yes': False, 'operation': 'install', 'quick': False, 'minimal': False, 'profile': None, 'components': None, 'no_backup': False, 'list_components': False, 'diagnose': False}
2025-07-23 23:32:51 | INFO     | superclaude | Executing operation: install
2025-07-23 23:32:51 | INFO     | superclaude | Starting install operation
2025-07-23 23:32:51 | INFO     | superclaude.security | [ALLOW] Claude directory installation validated: /Users/oozoofrog/.claude (PID: 4232)
2025-07-23 23:32:51 | INFO     | superclaude | Initializing installation system...
2025-07-23 23:32:51 | DEBUG    | superclaude | Discovered 0 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Hooks
2025-07-23 23:32:51 | DEBUG    | superclaude | Discovered 9 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Core
2025-07-23 23:32:51 | DEBUG    | superclaude | Files found: ['CLAUDE.md', 'COMMANDS.md', 'FLAGS.md', 'MCP.md', 'MODES.md', 'ORCHESTRATOR.md', 'PERSONAS.md', 'PRINCIPLES.md', 'RULES.md']
2025-07-23 23:32:51 | DEBUG    | superclaude | Discovered 17 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Commands
2025-07-23 23:32:51 | DEBUG    | superclaude | Files found: ['analyze.md', 'build.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'spawn.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-07-23 23:33:07 | INFO     | superclaude | Validating system requirements...
2025-07-23 23:33:08 | ERROR    | superclaude | System requirements not met:
2025-07-23 23:33:08 | ERROR    | superclaude |   - claude_cli: claude_cli not found in PATH
2025-07-23 23:33:08 | ERROR    | superclaude | System requirements not met. Use --force to override.
